country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,2002,42.129,25268405,726.7340548
Afghanistan,Asia,2007,43.828,31889923,974.5803384
Bahrain,Asia,2002,74.795,656397,23403.55927
Bahrain,Asia,2007,75.635,708573,29796.04834
Bangladesh,Asia,2002,62.013,135656790,1136.39043
Bangladesh,Asia,2007,64.062,150448339,1391.253792
Cambodia,Asia,2002,56.752,12926707,896.2260153
Cambodia,Asia,2007,59.723,14131858,1713.778686
China,Asia,2002,72.028,1280400000,3119.280896
China,Asia,2007,72.961,1318683096,4959.114854
"Hong Kong, China",Asia,2002,81.495,6762476,30209.01516
"Hong Kong, China",Asia,2007,82.208,6980412,39724.97867
India,Asia,2002,62.879,1034172547,1746.769454
India,Asia,2007,64.698,1110396331,2452.210407
Indonesia,Asia,2002,68.588,211060000,2873.91287
Indonesia,Asia,2007,70.65,223547000,3540.651564
Iran,Asia,2002,69.451,66907826,9240.761975
Iran,Asia,2007,70.964,69453570,11605.71449
Iraq,Asia,2002,57.046,24001816,4390.717312
Iraq,Asia,2007,59.545,27499638,4471.061906
Israel,Asia,2002,79.696,6029529,21905.59514
Israel,Asia,2007,80.745,6426679,25523.2771
Japan,Asia,2002,82,127065841,28604.5919
Japan,Asia,2007,82.603,127467972,31656.06806
Jordan,Asia,2002,71.263,5307470,3844.917194
Jordan,Asia,2007,72.535,6053193,4519.461171
"Korea, Dem. Rep.",Asia,2002,66.662,22215365,1646.758151
"Korea, Dem. Rep.",Asia,2007,67.297,23301725,1593.06548
"Korea, Rep.",Asia,2002,77.045,47969150,19233.98818
"Korea, Rep.",Asia,2007,78.623,49044790,23348.13973
Kuwait,Asia,2002,76.904,2111561,35110.10566
Kuwait,Asia,2007,77.588,2505559,47306.98978
Lebanon,Asia,2002,71.028,3677780,9313.93883
Lebanon,Asia,2007,71.993,3921278,10461.05868
Malaysia,Asia,2002,73.044,22662365,10206.97794
Malaysia,Asia,2007,74.241,24821286,12451.6558
Mongolia,Asia,2002,65.033,2674234,2140.739323
Mongolia,Asia,2007,66.803,2874127,3095.772271
Myanmar,Asia,2002,59.908,45598081,611
Myanmar,Asia,2007,62.069,47761980,944
Nepal,Asia,2002,61.34,25873917,1057.206311
Nepal,Asia,2007,63.785,28901790,1091.359778
Oman,Asia,2002,74.193,2713462,19774.83687
Oman,Asia,2007,75.64,3204897,22316.19287
Pakistan,Asia,2002,63.61,153403524,2092.712441
Pakistan,Asia,2007,65.483,169270617,2605.94758
Philippines,Asia,2002,70.303,82995088,2650.921068
Philippines,Asia,2007,71.688,91077287,3190.481016
Saudi Arabia,Asia,2002,71.626,24501530,19014.54118
Saudi Arabia,Asia,2007,72.777,27601038,21654.83194
Singapore,Asia,2002,78.77,4197776,36023.1054
Singapore,Asia,2007,79.972,4553009,47143.17964
Sri Lanka,Asia,2002,70.815,19576783,3015.378833
Sri Lanka,Asia,2007,72.396,20378239,3970.095407
Syria,Asia,2002,73.053,17155814,4090.925331
Syria,Asia,2007,74.143,19314747,4184.548089
Taiwan,Asia,2002,76.99,22454239,23235.42329
Taiwan,Asia,2007,78.4,23174294,28718.27684
Thailand,Asia,2002,68.564,62806748,5913.187529
Thailand,Asia,2007,70.616,65068149,7458.396327
Vietnam,Asia,2002,73.017,80908147,1764.456677
Vietnam,Asia,2007,74.249,85262356,2441.576404
West Bank and Gaza,Asia,2002,72.37,3389578,4515.487575
West Bank and Gaza,Asia,2007,73.422,4018332,3025.349798
"Yemen, Rep.",Asia,2002,60.308,18701257,2234.820827
"Yemen, Rep.",Asia,2007,62.698,22211743,2280.769906
